DEPARTAMENTO,MUNICIPIO,FECHA_HECHO,GENERO,DESCRIPCION_CONDUCTA_CAPTURA,GRUPO_ETARIO,CANTIDAD 
AMAZONAS,LETICIA,2016-04-06,FEMENINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
AMAZONAS,LETICIA,2016-04-06,MASCULINO,OTROS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-06,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
AMAZONAS,LETICIA,2016-04-06,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,5
AMAZONAS,LETICIA,2016-04-08,MASCULINO,OTROS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-10,MASCULINO,ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO,ADULTOS,1
AMAZONAS,PUERTO NARIÑO,2016-04-10,MASCULINO,ARTÍCULO 111. LESIONES PERSONALES,ADULTOS,1
AMAZONAS,LETICIA,2016-04-11,MASCULINO,ARTÍCULO 239. HURTO ENTIDADES COMERCIALES,ADULTOS,1
AMAZONAS,LETICIA,2016-04-12,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-13,MASCULINO,ARTÍCULO 103. HOMICIDIO,ADULTOS,1
AMAZONAS,LETICIA,2016-04-16,FEMENINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
AMAZONAS,LETICIA,2016-04-16,MASCULINO,ARTÍCULO 376. TRÁFICO. FABRICACIÓN O PORTE DE ESTUPEFACIENTES,ADULTOS,1
AMAZONAS,LETICIA,2016-04-16,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,1
AMAZONAS,LETICIA,2016-04-17,MASCULINO,ARTÍCULO 239. HURTO MOTOCICLETAS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-20,MASCULINO,ARTÍCULO 447. RECEPTACIÓN,ADOLESCENTES,1
AMAZONAS,LETICIA,2016-04-22,MASCULINO,OTROS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-22,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-23,FEMENINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,2
AMAZONAS,LETICIA,2016-04-23,MASCULINO,ARTÍCULO 291. USO DE DOCUMENTO FALSO,ADULTOS,3
AMAZONAS,LETICIA,2016-04-24,MASCULINO,ARTÍCULO 239. HURTO PERSONAS,ADULTOS,1
AMAZONAS,LETICIA,2016-04-24,MASCULINO,ARTÍCULO 189. VIOLACIÓN DE HABITACIÓN AJENA.,ADULTOS,1
